着, 1
周年, 1
缔结, 1
中央, 3
总统, 1
水利, 1
来, 1
会议, 3
下午, 2
落实, 1
首先, 2
期待, 1
公司, 2
政治, 1
说, 5
新, 1
我们, 1
会场, 1
总理, 26
相, 1
国家, 5
工作, 3
１９９３年, 1
受, 1
记者, 1
地, 1
新年, 1
发表, 1
为, 3
代表, 3
同志, 4
分别, 2
名, 3
会见, 1
茶话会, 1
委托, 2
主席, 13
会上, 1
全体, 1
中共中央, 3
年, 1
将, 1
贯彻, 1
河北省, 1
过问, 1
腐败, 1
联名, 1
步入, 2
题词, 2
斗争, 2
１９９８年, 1
了, 1
来访, 1
致电, 3
团结, 1
打电话, 3
接见, 1
加强, 1
关心, 2
纷纷, 1
图, 1
中纪委, 1
５月, 3
１５日, 1
演出, 1
全国, 1
人民, 3
这, 1
的, 5
等, 10
国务院, 3
领导人, 5
最近, 1
今年, 1
副, 3
今天, 1
是, 1
发, 2
１９９６年, 2
领导, 1
总书记, 14
造福, 2
首都, 1
相信, 1
重视, 1
出席, 1
非常, 1
政治局, 2
作, 1
当天, 1
日本, 2
